codCred,codCredRequisito
4611F-04,4611C-06
4636F-02,4636U-04
4611D-02,4115L-02
4636H-04,4611F-04
4636T-04,4636F-02
4637N-02,4637P-02
46506-04,4636F-02
4636K-04,4637N-02
4636P-04,4611F-04
4636P-04,4636T-04
4636P-04,4636X-04
4636P-04,46506-04
4637C-04,46506-04
4637H-04,4637N-02
46520-04,4611D-02
4611H-02,46520-04
4636M-02,4636K-04
4636R-04,46520-04
4637B-04,4636H-04
4637G-04,4637H-04
254AU-04,4636Z-04
4636B-04,4636Z-04
4636N-04,4636M-02
4636Q-04,4636L-04
4636Q-04,4636P-04
4636Q-04,4636R-04
4636Q-04,4636Z-04
4636Q-04,4637C-04
4637J-02,4115L-02
4637J-02,4611E-04
4637K-02,4636R-04
2540L-04,254PF-04
4636D-02,41238-04
4637E-02,4636H-04
4637L-04,4637B-04
254PG-02,2540L-04
4637D-04,4637C-04
4637M-04,4637L-04